Date,Open,High,Low,Close,Volume
2020-02-25,27.0506,27.1309,26.3228,26.3323,4130579
2020-02-26,26.5168,26.8238,26.1764,26.1954,5393656
2020-02-27,26.2187,26.3841,25.9068,25.9876,7982128
2020-02-28,25.5341,26.0581,25.2175,25.9212,6426560
2020-03-02,25.3962,25.8598,25.3873,25.827,4863127
2020-03-03,25.7842,26.1578,25.1724,25.3873,6940517
2020-03-04,25.0706,25.1795,24.8914,25.0378,6901180
2020-03-05,24.9147,24.995,24.2578,24.3333,7406160
2020-03-06,23.9696,24.3904,23.771,24.291,10680843
2020-03-09,23.3032,23.6245,22.6842,23.2462,7512766
2020-03-10,23.7614,24.0119,23.1378,23.9554,6944774
2020-03-11,23.6198,23.7096,22.7612,22.8686,5570444
2020-03-12,21.1672,21.5262,20.5341,21.1483,8340929
2020-03-13,23.2509,23.7995,21.8998,22.5284,7895263
2020-03-16,20.3211,21.4696,20.2678,20.3873,8032509
2020-03-17,20.5668,22.188,20.5668,22.0886,9809640
2020-03-18,19.3523,19.8106,18.2085,19.4796,12687650
2020-03-19,18.7618,18.9035,16.5736,17.1736,21304739
2020-03-20,17.4854,17.7322,16.8214,16.9093,15337225
2020-03-23,15.4394,15.5954,13.9415,14.1583,20691679
2020-03-24,15.3966,16.6678,14.8342,15.5906,20425385
2020-03-25,16.4834,17.7598,16.3184,17.4854,9949896
2020-03-26,18.1995,19.6498,18.1995,19.4796,12668528
2020-03-27,18.6059,19.2154,17.5187,18.5774,11181985
2020-03-30,17.9394,18.3459,17.301,18.3174,7841632
2020-03-31,18.478,18.6672,17.9532,18.1757,6501746
2020-04-01,17.2682,17.552,16.819,17.0414,5951459
2020-04-02,17.0414,17.7646,16.9045,17.755,6586771
2020-04-03,17.4759,17.5093,16.0018,16.3464,6931627
2020-04-06,17.3105,18.2014,17.1879,17.4617,9744503
2020-04-07,18.5868,18.6434,17.3913,17.495,7549704
2020-04-08,18.0574,18.5156,17.6176,18.3554,5551005
2020-04-09,18.7142,19.6926,18.6714,19.2628,5276249
2020-04-13,18.9035,19.0737,17.9603,18.7381,4304362
2020-04-14,19.4939,19.6142,18.8702,19.376,3743229
2020-04-15,18.1662,18.5018,18.0102,18.237,4220261
2020-04-16,18.5821,18.6672,17.4569,17.8164,6899508
2020-04-17,19.3,19.5367,18.2984,18.8893,10864759
2020-04-20,19.2862,20.0044,19.163,19.5604,6075837
2020-04-21,18.7381,19.0452,18.1662,18.4168,5753018
2020-04-22,19.3428,19.3998,18.8798,19.2719,5396737
2020-04-23,19.376,19.7726,19.2201,19.319,4728103
2020-04-24,19.2439,19.2814,18.7618,18.8798,3718419
2020-04-27,19.1441,19.2534,18.9178,19.1821,4680640
2020-04-28,19.745,20.0236,19.2862,19.3,4606459
2020-04-29,20.6282,21.2286,20.5056,21.2239,7059535
2020-04-30,21.1953,21.1953,20.1652,20.4866,4432007
2020-05-01,19.9664,19.9998,19.57,19.8961,2967268
2020-05-04,19.1488,19.357,18.8322,19.2344,4313671
2020-05-05,19.2106,19.6855,19.1964,19.2628,2730621
2020-05-06,19.6451,19.7022,19.2344,19.2534,2578049
2020-05-07,19.2628,19.6712,18.9834,19.05,4630947
2020-05-08,19.5748,19.6926,19.0215,19.1821,5822951
2020-05-11,18.9881,18.9976,18.19,18.2038,9513116
2020-05-12,18.7096,19.7308,18.171,19.0832,15679954
2020-05-13,19.1964,19.1964,17.9204,17.9484,14133714
2020-05-14,17.6556,18.1505,17.2544,17.7646,15451378
2020-05-15,17.5234,17.6319,17.1451,17.2212,12237463
2020-05-18,17.3486,17.4807,17.2212,17.2634,15077225
2020-05-19,17.3676,17.4056,16.8475,16.9516,8231287
2020-05-20,17.358,17.9394,17.2962,17.8496,5489995
2020-05-21,17.7598,17.977,17.58,17.58,5504661
2020-05-22,17.2116,17.358,17.1308,17.3533,3440739
2020-05-26,17.9062,18.0054,17.6937,17.7693,7812973
2020-05-27,18.7899,19.3285,18.5631,19.2909,10855943
2020-05-28,19.8534,19.8534,19.4022,19.4235,11294524
2020-05-29,19.2766,19.8438,19.2719,19.7678,6616330
2020-06-01,20.0663,20.4205,19.877,20.0896,4901296
2020-06-02,20.614,21.115,20.555,21.0774,7158170
2020-06-03,21.4977,21.8072,21.4506,21.7815,8218960
2020-06-04,21.6065,21.8428,21.2566,21.4458,7498510
2020-06-05,22.514,22.5188,22.0415,22.4998,7118000
2020-06-08,22.1214,22.2117,21.5738,21.6583,5409420
2020-06-09,21.1056,21.115,20.652,20.7323,6432694
2020-06-10,20.8882,20.9734,20.5668,20.6187,3860985
2020-06-11,19.82,19.9332,19.1916,19.2486,8497238
2020-06-12,20.1794,20.3638,19.7117,20.0044,5312607
2020-06-15,19.4796,19.957,19.2766,19.745,4805268
2020-06-16,20.3211,20.5431,20.0753,20.1889,4053891
2020-06-17,20.2407,20.3211,20.101,20.1889,3223258
2020-06-18,20.5622,20.99,20.5103,20.6757,3003687
2020-06-19,21.0912,21.3042,20.8412,21.1198,5526499
2020-06-22,21.0726,21.3232,20.9638,21.134,3707052
2020-06-23,21.5072,21.8475,21.4316,21.4696,5191310
2020-06-24,21.1716,21.1716,20.6282,20.8459,3420584
2020-06-25,20.5996,21.7059,20.5996,21.5738,5250240
2020-06-26,21.4316,21.7392,21.2334,21.3089,4298033
2020-06-29,21.5785,21.6679,21.3703,21.5594,4547702
2020-06-30,21.5167,21.5642,21.2566,21.4834,3438614
2020-07-01,21.8286,22.7831,21.7768,22.651,8034695
2020-07-02,22.9105,23.0246,22.5116,22.571,3444372
2020-07-06,23.1853,23.3645,22.9866,23.0717,2558970
2020-07-07,23.1568,23.1758,22.5844,22.6462,3553825
2020-07-08,22.7736,23.0104,22.6081,22.9818,4253054
2020-07-09,22.9818,23.0902,22.6889,22.9438,2917003
2020-07-10,22.5093,22.883,22.4285,22.8686,2830379
2020-07-13,22.4665,22.552,22.0886,22.2212,4558596
2020-07-14,21.6583,21.9184,21.5594,21.8808,3628508
2020-07-15,22.07,22.4056,22.0224,22.0838,2810644
2020-07-16,21.9844,22.107,21.8523,21.956,1709865
2020-07-17,22.4998,22.5331,22.3391,22.3438,2602718
2020-07-20,23.2324,24.4892,23.1401,24.3428,8747666
2020-07-21,24.3238,24.6452,24.3071,24.5981,4470905
2020-07-22,23.9174,24.1304,23.577,23.6858,3587644
2020-07-23,23.6716,23.9744,23.5912,23.7001,2485224
2020-07-24,23.577,23.7519,23.4115,23.7472,5467960
2020-07-27,22.9014,23.2038,22.8544,22.9438,6074813
2020-07-28,22.7032,23.0199,22.651,22.92,3922616
2020-07-29,22.571,23.0199,22.571,23.0199,6199342
2020-07-30,22.245,22.5754,22.245,22.4618,4537445
2020-07-31,22.1166,22.32,21.819,22.0934,6092468
2020-08-03,21.6018,21.7862,21.4554,21.6255,5773444
2020-08-04,22.3296,22.3296,21.6964,21.8855,3659565
2020-08-05,21.9512,22.1028,21.7791,21.9326,2919022
2020-08-06,22.0082,22.0838,21.7862,21.8855,2571427
2020-08-07,21.9654,21.9892,21.6964,21.9892,2979197
2020-08-10,22.2588,22.3248,21.7202,21.8048,2909154
2020-08-11,22.3534,22.5754,22.2307,22.2307,3383950
2020-08-12,22.5473,22.6034,22.1028,22.282,2513928
2020-08-13,22.0462,22.4332,21.8903,22.282,2831097
2020-08-14,21.8238,22.2354,21.8048,22.0558,2751840
2020-08-17,21.8333,21.9702,21.531,21.6774,3114907
2020-08-18,22.2117,22.552,22.1689,22.4808,3927326
2020-08-19,22.2588,22.5284,22.2354,22.301,1834007
2020-08-20,22.107,22.6319,22.0653,22.552,2180290
2020-08-21,22.8258,22.9628,22.7009,22.8734,1744652
2020-08-24,23.615,23.7001,23.355,23.4923,3674886
2020-08-25,23.634,23.7239,23.4025,23.6716,2115439
2020-08-26,23.7192,23.7472,23.3645,23.4971,2223062
2020-08-27,23.2936,23.4591,23.1806,23.3507,3945172
2020-08-28,23.7286,24.2296,23.6954,24.1441,2690965
2020-08-31,23.6198,23.7472,23.4401,23.4401,2342819
2020-09-01,23.9834,24.2953,23.8703,24.2296,2718217
2020-09-02,24.1916,24.5368,24.078,24.4607,2288222
2020-09-03,24.272,24.409,23.8418,24.05,2637176
2020-09-04,24.05,24.1112,23.3032,23.6764,2986351
2020-09-08,23.421,23.7096,23.3126,23.3788,3365565
2020-09-09,23.5019,23.7543,23.4591,23.5584,1935486
2020-09-10,23.4781,23.6673,23.1663,23.2841,2914527
2020-09-11,23.2936,23.3459,23.0388,23.3126,2155100
2020-09-14,23.0151,23.2086,22.9152,23.0717,2177278
2020-09-15,23.4258,23.5441,23.3365,23.3882,2219116
2020-09-16,23.5109,23.9126,23.4923,23.8466,2359365
2020-09-17,23.5584,23.7472,23.4562,23.7377,1621538
2020-09-18,23.1188,23.2984,23.0199,23.152,2410093
2020-09-21,22.8068,22.8068,22.4285,22.727,2815718
2020-09-22,22.5378,22.8592,22.4808,22.8116,2436971
