Date,Open,High,Low,Close,Volume
2020-02-25,14.544,14.5639,14.2864,14.3063,8242654.7896575
2020-02-26,14.4157,14.5689,14.2665,14.3262,9137562.0422312
2020-02-27,14.0785,14.167,13.8994,13.9691,7610922.3187261
2020-02-28,13.4627,13.7999,13.413,13.7602,12809716.256231
2020-03-02,13.7015,13.9989,13.6915,13.9989,6661692.0209687
2020-03-03,13.9691,14.2118,13.7194,13.8099,9999521.8054392
2020-03-04,13.7303,13.7403,13.3633,13.4727,15037860.846452
2020-03-05,13.3633,13.3732,12.8579,12.9475,14417865.177203
2020-03-06,12.8281,12.838,12.5605,12.8082,9601485.8946736
2020-03-09,11.8065,12.0343,11.6473,11.8751,9786408.6298088
2020-03-10,12.1935,12.4212,11.9647,12.3815,9247352.1566085
2020-03-11,12.2322,12.4014,11.8453,11.895,13421433.333458
2020-03-12,10.9132,10.9729,9.92148,10.3671,22966029.668627
2020-03-13,11.9199,11.9249,11.0425,11.2902,14641612.34754
2020-03-16,9.97022,10.397,9.63301,10.199,9124158.4639157
2020-03-17,9.69269,10.2686,9.50469,9.89164,13689293.788132
2020-03-18,8.92893,9.31091,8.63131,9.0679,9581195.0505485
2020-03-19,8.62136,8.70074,7.94673,7.94673,16564825.279759
2020-03-20,8.37338,8.47255,7.77813,7.95668,18841877.399046
2020-03-23,7.32174,7.40112,6.80587,6.84556,23440147.19722
2020-03-24,7.24236,7.51024,6.85541,7.0836,24262948.767783
2020-03-25,7.60942,8.11544,7.60455,7.91699,20632950.531663
2020-03-26,8.26425,8.80986,8.26425,8.80986,14908014.121336
2020-03-27,8.40312,8.66603,8.21462,8.55193,12512813.877463
2020-03-30,8.13524,8.38332,8.03606,8.34363,9937070.9622595
2020-03-31,8.26425,8.54208,8.24436,8.43286,8593549.4720463
2020-04-01,7.93689,7.95937,7.58962,7.65906,9479326.6489985
2020-04-02,7.69875,7.84756,7.53501,7.80787,13589697.349905
2020-04-03,7.23242,7.36143,7.09355,7.17293,10025701.658922
2020-04-06,7.69875,8.09555,7.56197,7.96663,19370713.053171
2020-04-07,8.32374,8.56884,8.13524,8.23451,11786431.012354
2020-04-08,8.12539,8.62136,8.12539,8.57182,12162743.535749
2020-04-09,8.82976,9.22656,8.81981,8.96862,11432979.86858
2020-04-13,8.80002,8.84955,8.56188,8.82976,17439320.047693
2020-04-14,8.96862,9.13733,8.8595,8.96862,10296471.433003
2020-04-15,8.47255,8.60157,8.36243,8.49245,6865774.6450347
2020-04-16,8.76033,8.86945,8.66105,8.70074,10377672.005363
2020-04-17,9.53453,9.6529,9.33568,9.45495,13144151.268046
2020-04-20,9.19682,9.30843,9.03806,9.13733,7489228.5239443
2020-04-21,8.47255,8.60157,8.2742,8.40312,10932309.522612
2020-04-22,8.64126,8.98355,8.62335,8.92893,13123468.359454
2020-04-23,9.18687,9.28614,8.93888,8.96862,6983112.5030551
2020-04-24,8.82976,8.8595,8.54696,8.6512,6252780.8450551
2020-04-27,8.91909,9.17702,8.86945,9.15713,5534100.5387898
2020-04-28,9.48479,9.53453,9.13733,9.18687,7651133.0536726
2020-04-29,9.61311,10.1095,9.61311,10.0597,13285324.635094
2020-04-30,9.87174,9.97022,9.53453,9.68274,8139194.003194
2020-05-01,9.2564,9.43496,9.22656,9.28614,6091305.5756539
2020-05-04,8.92893,9.00831,8.77018,8.88924,8342085.3544555
2020-05-05,8.72064,8.93888,8.67597,8.77018,8320192.0724818
2020-05-06,8.95868,8.95868,8.71069,8.71069,7011539.1875242
2020-05-07,8.80002,8.87442,8.74282,8.78012,4631190.1446148
2020-05-08,8.84955,8.96365,8.74541,8.94883,3272347.9813702
2020-05-11,8.53214,8.53214,8.21462,8.28405,8462964.8614974
2020-05-12,8.42301,9.16707,8.34602,8.93888,14730277.224182
2020-05-13,8.90914,8.99837,8.66105,8.69089,10880998.336773
2020-05-14,8.49245,8.70074,8.18487,8.64126,8567333.4279968
2020-05-15,8.36343,8.44281,8.21959,8.39327,6113142.5611912
2020-05-18,8.17493,8.294,8.04601,8.12539,10937621.493498
2020-05-19,8.05586,8.05586,7.78807,7.81782,7286952.4123085
2020-05-20,7.99637,8.23451,7.99637,8.10549,6609431.8380593
2020-05-21,8.03606,8.0857,7.88725,7.91699,5993465.3851824
2020-05-22,7.72849,7.72849,7.59957,7.69875,6063262.913304
2020-05-26,7.83761,7.93689,7.77813,7.83761,14861424.799094
2020-05-27,8.43286,8.4825,8.26425,8.44281,13267102.685004
2020-05-28,8.60157,8.60157,8.40312,8.41307,8301119.644086
2020-05-29,8.50239,8.66105,8.46986,8.63131,7552988.2592688
2020-06-01,8.79007,8.94386,8.78012,8.84955,6934935.822367
2020-06-02,9.11744,9.51463,9.11744,9.47484,18731110.139381
2020-06-03,9.62306,9.82201,9.52458,9.70264,17010579.457374
2020-06-04,9.29599,9.32583,9.18687,9.23651,12461117.66421
2020-06-05,9.56437,9.80211,9.53453,9.69269,12903420.669219
2020-06-08,9.69269,9.70264,9.47683,9.61311,7262074.4139155
2020-06-09,9.32583,9.36552,9.0679,9.15713,10549714.920099
2020-06-10,9.33568,9.4449,9.24645,9.29599,9106066.1966882
2020-06-11,8.82976,8.84955,8.50727,8.60157,9485506.1881799
2020-06-12,8.94883,8.99837,8.68592,8.92893,8766573.5532445
2020-06-15,8.64126,8.88924,8.50239,8.83971,4518794.30947
2020-06-16,9.01826,9.12738,8.83971,8.88924,8110645.6782106
2020-06-17,8.95868,8.95868,8.83971,8.90914,3564432.993658
2020-06-18,9.05795,9.26128,9.048,9.16707,6165975.761399
2020-06-19,9.54448,9.60317,9.35558,9.39527,11494189.174279
2020-06-22,9.45495,9.61311,9.45495,9.55442,5184866.6012729
2020-06-23,9.85185,9.95132,9.73248,9.78222,7510265.2958508
2020-06-24,9.24645,9.24645,8.94883,9.08769,7442950.8426891
2020-06-25,9.08769,9.30594,9.08769,9.30594,5448412.3362188
2020-06-26,9.12738,9.17205,8.90914,8.97857,6403479.3680721
2020-06-29,8.96862,9.09267,8.91909,9.048,3763729.415342
2020-06-30,9.18687,9.26625,9.09267,9.21671,5977070.0533931
2020-07-01,9.4449,9.63301,9.42501,9.52458,6467578.8926016
2020-07-02,9.68274,9.68274,9.49474,9.55442,4258206.1480187
2020-07-06,9.66285,9.71259,9.55442,9.71259,5242565.4220498
2020-07-07,9.88169,10.005,9.79217,9.83195,5185814.593049
2020-07-08,9.73248,9.89164,9.67777,9.81206,3612368.4039046
2020-07-09,9.80211,9.81703,9.55442,9.66285,5105469.5254625
2020-07-10,9.51463,9.66086,9.42501,9.64295,3321476.6750084
2020-07-13,9.39527,9.50469,9.30594,9.35558,5708286.7392809
2020-07-14,9.15713,9.27122,9.09764,9.24645,4438708.607608
2020-07-15,9.36552,9.40024,9.28614,9.31589,3987985.2641929
2020-07-16,9.21671,9.21671,9.13236,9.18687,4681197.4647773
2020-07-17,9.43496,9.45495,9.31589,9.32583,3553388.8392011
2020-07-20,9.58327,9.99012,9.56437,9.94138,8823859.1983904
2020-07-21,10.2587,10.5959,10.2587,10.5163,16576520.864408
2020-07-22,10.2487,10.3671,10.1891,10.3184,8540725.31948
