Date,Open,High,Low,Close,Volume
2020-02-25,10.6272,10.741,10.3611,10.4367,21841609.430559
2020-02-26,10.4278,10.5506,10.3709,10.418,17671039.170842
2020-02-27,10.2463,10.3327,10.0489,10.0578,24572497.285876
2020-02-28,9.64149,9.76519,9.45594,9.53743,22746806.175886
2020-03-02,9.59339,9.8398,9.49423,9.81133,17394499.406182
2020-03-03,9.79267,9.98217,9.59339,9.67094,13644652.385749
2020-03-04,9.80151,9.92519,9.67978,9.91538,13236335.925232
2020-03-05,9.78384,9.81133,9.54233,9.59339,12934186.043022
2020-03-06,9.43435,9.50896,9.08259,9.26235,16393058.449706
2020-03-09,8.72269,8.85532,8.325,8.59949,13643012.409245
2020-03-10,8.92149,8.95006,8.53322,8.70385,23068673.465041
2020-03-11,8.58064,8.69432,8.38174,8.42915,25991477.27881
2020-03-12,7.86094,7.94144,7.57673,7.62404,18175397.137338
2020-03-13,8.14485,8.18284,7.57673,7.93663,37388870.880177
2020-03-16,6.96109,7.45362,6.85703,6.98003,20760112.15523
2020-03-17,6.99898,7.51046,6.74325,7.45362,21128881.753771
2020-03-18,6.7243,7.13162,6.70545,6.96109,26761055.097614
2020-03-19,6.93272,6.96109,6.65803,6.75267,14607208.582565
2020-03-20,7.10315,7.15989,6.49703,6.57282,24158670.09686
2020-03-23,6.55388,6.80961,6.4024,6.74325,27501588.015781
2020-03-24,7.41573,7.63367,7.10786,7.33051,21597786.687838
2020-03-25,7.34946,7.93191,7.27357,7.75658,23503232.605473
2020-03-26,8.05021,8.64701,7.97452,8.61863,31207362.450261
2020-03-27,8.19237,8.36279,8.0029,8.05974,25087053.665263
2020-03-30,7.9651,8.18756,7.90816,8.04079,13783815.087585
2020-03-31,8.03137,8.06916,7.71407,7.77572,21721547.871205
2020-04-01,7.45362,7.59557,7.34465,7.36831,16489723.35048
2020-04-02,7.38726,7.59557,7.33051,7.49142,7732748.9627055
2020-04-03,7.38726,7.39206,7.06526,7.15989,16407855.92714
2020-04-06,7.4442,7.8419,7.38726,7.81343,16897435.769962
2020-04-07,8.21121,8.30124,7.90816,7.93663,15872875.219259
2020-04-08,7.9651,8.06916,7.75658,8.03137,14487865.149569
2020-04-09,8.09773,8.22074,8.02194,8.06916,10546687.876579
2020-04-13,8.05021,8.09282,7.87979,8.05021,6002062.4046069
2020-04-14,8.13543,8.2823,8.02655,8.21121,8005631.8853482
2020-04-15,7.8419,8.0077,7.81343,7.88921,8451577.1483632
2020-04-16,7.86094,7.87979,7.66194,7.78514,10359553.315462
2020-04-17,8.0029,8.13543,7.94605,8.126,15801958.968212
2020-04-20,8.02194,8.26806,7.89874,8.05974,10197941.270666
2020-04-21,7.67146,7.97923,7.67146,7.81343,10322927.852625
2020-04-22,7.93663,8.13543,7.89874,8.09773,10518173.676412
2020-04-23,8.41973,8.51438,8.2871,8.325,12022121.768759
2020-04-24,8.26806,8.34374,8.14485,8.29653,8423028.3151528
2020-04-27,8.41021,8.47647,8.325,8.45744,5812891.6242163
2020-04-28,8.42915,8.45282,8.22545,8.325,10340774.056566
2020-04-29,8.53322,8.99728,8.5238,8.98775,21933019.276189
2020-04-30,8.95948,9.0069,8.61863,8.74174,13761838.383817
2020-05-01,8.59949,8.63758,8.486,8.58064,6191383.9406016
2020-05-04,8.51438,8.51438,8.33432,8.45744,9072048.5071765
2020-05-05,8.62806,8.65633,8.41973,8.43849,5635888.2471403
2020-05-06,8.42915,8.46696,8.2823,8.39126,5468966.1417768
2020-05-07,8.51438,8.57112,8.43849,8.56169,8194116.1165688
2020-05-08,8.59949,8.69432,8.51908,8.6848,8522985.3923618
2020-05-11,8.65633,8.65633,8.42915,8.5238,7268394.1994724
2020-05-12,8.6848,8.89312,8.59949,8.66575,15646819.228201
2020-05-13,8.64701,8.65633,8.05512,8.09773,27423500.687351
2020-05-14,8.01232,8.23016,7.92711,8.22074,15407734.0822
2020-05-15,8.09773,8.25863,8.08831,8.23968,6715632.4792634
2020-05-18,8.40068,8.55227,8.38174,8.486,9767218.2491855
2020-05-19,8.486,8.50485,8.30124,8.325,13053716.901905
2020-05-20,8.41973,8.56169,8.38174,8.5238,11042835.774366
2020-05-21,8.486,8.54275,8.40068,8.45744,11969731.140489
2020-05-22,8.58064,8.59007,8.50485,8.57112,6153337.5043349
2020-05-26,8.6848,8.71327,8.448,8.59007,9171981.1375309
2020-05-27,8.71327,8.89312,8.69903,8.85532,10767832.087077
2020-05-28,8.87427,8.91207,8.6848,8.70385,13547815.338372
2020-05-29,8.65583,8.75165,8.59831,8.71337,8113358.9878803
2020-06-01,8.7708,8.89528,8.7708,8.86651,3414306.8091605
2020-06-02,8.94309,9.01014,8.89528,8.98147,6672555.0840206
2020-06-03,9.02938,9.05805,8.83785,8.87613,14478353.285848
2020-06-04,8.84738,8.99099,8.78994,8.87613,16057920.592916
2020-06-05,8.99099,9.13943,8.96233,8.98147,9196777.3785428
2020-06-08,9.06758,9.18056,9.01966,9.15377,12499171.57992
2020-06-09,9.04853,9.04853,8.88085,8.93347,8456213.9018071
2020-06-10,8.97195,8.99099,8.81871,8.9049,12852459.189096
2020-06-11,8.74203,8.76117,8.45959,8.48355,10852621.928175
2020-06-12,8.58879,8.73732,8.50269,8.72289,6929656.5433268
2020-06-15,8.56012,8.84738,8.53145,8.82823,7800035.874447
2020-06-16,8.80909,8.92885,8.6846,8.73242,15977210.320699
2020-06-17,8.72289,8.96233,8.71808,8.93347,15967601.688178
2020-06-18,8.86651,8.95271,8.78042,8.82823,9387588.1354371
2020-06-19,8.88576,8.97195,8.76373,8.7708,8890942.1329846
2020-06-22,8.80909,8.86651,8.71337,8.76117,7963458.0051109
2020-06-23,9.05805,9.16329,9.00052,9.01966,8770828.6240643
2020-06-24,8.93347,8.97657,8.64631,8.6846,13761430.936239
2020-06-25,8.67508,8.9049,8.66536,8.89528,8486700.1482536
2020-06-26,9.24919,9.30711,9.06758,9.1251,14630929.16197
2020-06-29,9.09623,9.17291,9.02938,9.16329,8161645.6004148
2020-06-30,9.15377,9.28768,9.11558,9.24919,10725351.602537
2020-07-01,9.15377,9.31693,9.1251,9.26813,12848458.053875
2020-07-02,9.57473,9.61302,9.4687,9.49815,13089580.437769
2020-07-06,9.72788,9.79562,9.64247,9.68076,9012511.2483792
2020-07-07,9.89084,9.95858,9.7858,9.80445,17934611.916314
2020-07-08,9.67192,9.92816,9.67192,9.90066,15856380.72266
2020-07-09,9.91052,9.9242,9.71806,9.79562,10234668.595396
2020-07-10,9.82409,9.95858,9.7858,9.94877,8312206.6482616
2020-07-13,10.044,10.1785,9.99683,10.0244,14084577.610791
2020-07-14,9.87219,10.1392,9.83783,10.1392,14066101.900341
2020-07-15,11.2122,11.6776,11.1553,11.4037,36200473.6209
2020-07-16,11.4901,11.7482,11.3997,11.71,22316927.589512
2020-07-17,11.5951,11.8347,11.5097,11.7482,21561023.711444
2020-07-20,11.9878,12.0742,11.8062,12.0457,17405332.418676
2020-07-21,12.0545,12.0938,11.9309,11.9593,15209385.545102
2020-07-22,11.816,11.9309,11.7384,11.7777,11446281.199081
2020-07-23,11.7286,11.8729,11.653,11.7198,12346247.336118
2020-07-24,11.7286,11.8729,11.6432,11.8062,9138590.8084683
2020-07-27,12.141,12.1596,12.0163,12.1311,6616198.9721927
2020-07-28,12.2086,12.246,12.0359,12.0457,10232326.790439
2020-07-29,12.1223,12.3717,12.1125,12.3039,14319768.57656
2020-07-30,12.1694,12.4335,12.1508,12.3991,10585393.359304
2020-07-31,12.4188,12.4286,12.2136,12.3039,8407077.7610713
2020-08-03,12.246,12.4188,12.1645,12.3717,9169171.7864768
2020-08-04,12.2086,12.2086,12.0644,12.1036,9652050.1352499
2020-08-05,12.141,12.189,12.0644,12.1125,9775134.9556368
2020-08-06,12.3432,12.3844,12.189,12.2842,10023826.696922
2020-08-07,12.1508,12.1988,12.0075,12.0644,10497714.714874
2020-08-10,12.0938,12.1596,11.9878,12.0545,7450916.4539999
2020-08-11,12.1125,12.2558,12.0938,12.0938,7487263.8338638
2020-08-12,12.1792,12.242,12.0938,12.2185,8589806.7952449
2020-08-13,12.1694,12.2656,12.1223,12.2372,8826417.7158256
2020-08-14,12.1988,12.2284,12.1086,12.1792,7406483.2769395
2020-08-17,12.246,12.3942,12.246,12.3236,6428882.0782845
2020-08-18,12.3432,12.4384,12.2744,12.4286,5786913.7852266
2020-08-19,12.2842,12.4767,12.2332,12.2558,6251063.8060515
2020-08-20,12.1311,12.3717,12.1125,12.2744,7187537.246127
2020-08-21,12.1792,12.1792,12.031,12.0644,10272228.131807
2020-08-24,12.2185,12.3186,12.136,12.246,9846795.8171342
2020-08-25,12.1125,12.3088,12.0644,12.2656,7278594.6496015
2020-08-26,12.3618,12.3844,12.2941,12.3334,4368908.610625
2020-08-27,12.352,12.3618,12.1792,12.2372,4768925.3639663
2020-08-28,12.2941,12.4089,12.2284,12.2656,7986292.386032
2020-08-31,12.1125,12.141,12.0595,12.0644,7152917.4439962
2020-09-01,12.0457,12.1694,11.9977,12.1311,5494193.258603
2020-09-02,12.1988,12.2086,12.1125,12.189,5840729.4614021
2020-09-03,12.1792,12.189,11.8631,11.9407,10725667.374411
2020-09-04,11.9977,12.0261,11.6816,11.9113,8473964.3555669
2020-09-08,11.9691,12.1842,11.9691,12.1311,13079494.072962
2020-09-09,12.1036,12.2558,12.1036,12.2086,8641102.4081471
2020-09-10,12.2558,12.3206,12.0545,12.0644,6464867.8484226
2020-09-11,12.2558,12.3284,12.141,12.2185,6873851.5043489
