Date,Open,High,Low,Close,Volume
2020-02-25,5.02043,5.10761,5.02043,5.10761,2699.9
2020-02-26,5.10761,5.10761,4.98555,5.02043,13344.2
2020-02-27,4.95067,4.95067,4.7764,4.81126,26527.7
2020-02-28,4.60202,4.60202,4.28824,4.39286,10581.5
2020-03-02,4.358,4.358,4.00935,4.14875,43000.2
2020-03-03,4.32312,4.56725,4.32312,4.47997,26121.4
2020-03-04,4.32312,4.42774,4.22722,4.39286,3876.98
2020-03-05,4.42774,4.42774,4.24466,4.32312,16470.2
2020-03-06,4.01807,4.09653,3.92216,3.95703,12937.9
2020-03-09,3.82626,3.82626,3.49513,3.57352,18355.3
2020-03-10,3.72181,3.75659,3.67814,3.67814,17069.2
2020-03-11,3.48641,3.57352,3.48641,3.57352,1068.06
2020-03-12,3.15519,3.27718,2.96348,3.27718,42912.1
2020-03-13,3.57352,3.81762,3.48641,3.66941,98368
2020-03-16,3.39923,3.39923,3.05058,3.25982,140942
2020-03-17,3.32085,3.32085,3.09417,3.22496,136325
2020-03-18,3.22496,3.22496,3.09417,3.09417,2227.53
2020-03-19,3.0593,3.12905,2.80656,2.82399,9458.46
2020-03-20,3.30332,3.35563,3.0157,3.16392,19838.5
2020-03-23,2.90245,3.17256,2.90245,3.02443,53860.4
2020-03-24,3.03323,3.13776,2.70193,2.70193,8142.65
2020-03-25,3.07673,3.25982,3.03323,3.05058,10591.5
2020-03-26,3.08545,3.38179,3.08545,3.38179,32649.8
2020-03-27,3.26845,3.26845,3.05058,3.12033,90507.3
2020-03-30,2.98955,3.04187,2.8327,2.95467,82644.3
2020-03-31,3.0157,3.2423,3.0157,3.2423,4908.71
2020-04-01,3.05058,3.08545,2.98083,3.08545,7680.18
2020-04-02,3.0157,3.10298,2.96348,3.06811,49805
2020-04-03,2.90245,2.94596,2.8327,2.84143,52097.5
2020-04-06,2.84143,3.05058,2.84143,3.05058,5816.02
2020-04-07,3.08545,3.34692,3.08545,3.19879,1550.35
2020-04-08,3.17256,3.25982,3.13776,3.19879,26821.7
2020-04-09,3.22496,3.46027,3.15519,3.38179,46310.1
2020-04-14,3.41666,3.41666,3.26845,3.37308,26609.2
2020-04-15,3.37308,3.40795,3.14649,3.19879,28157.3
2020-04-16,3.28598,3.31204,3.19879,3.2423,181396
2020-04-17,3.28598,3.34692,3.28598,3.30332,10147.7
2020-04-20,3.30332,3.32085,3.19008,3.22496,7227.63
2020-04-21,3.0593,3.0593,2.91108,2.92861,32958.1
2020-04-22,3.06811,3.09417,2.95467,3.08545,142814
2020-04-23,3.11161,3.16392,3.02443,3.16392,12484.2
2020-04-24,3.06811,3.12905,3.0157,3.05058,2532.53
2020-04-27,3.12905,3.16392,3.06811,3.11161,4275.58
2020-04-28,2.99836,3.14649,2.99836,3.11161,1841.04
2020-04-29,3.23367,3.32085,3.13776,3.2947,58505.9
2020-04-30,3.4341,3.56479,3.4341,3.52991,134994
2020-05-01,3.20742,3.21623,3.17256,3.20742,7118.62
2020-05-04,3.11161,3.11161,3.05058,3.05058,15473.7
2020-05-05,3.13776,3.13776,3.0593,3.12905,13672.3
2020-05-06,3.17256,3.18136,3.17256,3.18136,6547.15
2020-05-07,3.15519,3.17256,3.15519,3.15519,1628.53
2020-05-11,3.15519,3.17256,3.15519,3.15519,1628.53
2020-05-12,3.03323,3.36444,3.03323,3.2511,79990.6
2020-05-13,3.22496,3.22496,3.06811,3.11161,5795.1
2020-05-14,3.0593,3.0593,2.98083,2.98083,4875.68
2020-05-15,3.12905,3.12905,3.0593,3.12033,3274.67
2020-05-18,3.0157,3.10298,2.99836,3.09417,40813.4
2020-05-19,3.15519,3.15519,3.02443,3.0593,8220.83
2020-05-20,3.20742,3.22496,3.20742,3.22496,905.106
2020-05-21,3.2423,3.2423,3.14649,3.14649,5618.92
2020-05-22,3.13776,3.13776,3.06811,3.12033,9765.67
2020-05-26,3.21623,3.22496,3.12033,3.22496,6191.49
2020-05-27,3.2511,3.2511,3.22496,3.2423,16097
2020-05-28,3.31204,3.4341,3.2511,3.39051,79356.4
2020-05-29,3.30332,3.38179,3.2947,3.35563,413860
2020-06-01,3.59967,3.73916,3.57352,3.62582,22727.8
2020-06-02,3.62582,3.8002,3.62582,3.78276,68164.8
2020-06-03,3.70429,3.76532,3.66941,3.713,36586.3
2020-06-04,3.6607,3.72181,3.64326,3.68694,8866.07
2020-06-05,3.90482,4.06166,3.90482,4.04422,38714.7
2020-06-08,3.89601,3.9919,3.84379,3.95703,160858
2020-06-09,4.00935,4.12269,3.88728,3.97456,91539
2020-06-10,3.92216,3.97456,3.8002,3.88728,133844
2020-06-11,3.68694,3.68694,3.49513,3.66941,24780.3
2020-06-12,3.51257,3.74788,3.51257,3.62582,4967.07
2020-06-15,3.48641,3.713,3.46027,3.6607,10393.3
2020-06-16,3.74788,3.74788,3.48641,3.59103,44677.2
2020-06-17,3.57352,3.78276,3.53872,3.63454,14861.5
2020-06-18,3.61719,3.82626,3.59103,3.6607,36378.2
2020-06-19,3.72181,3.89601,3.55616,3.55616,389067
2020-06-22,3.6607,3.78276,3.6607,3.75659,27326
2020-06-23,3.76532,3.87866,3.76532,3.80891,23910.4
2020-06-24,3.78276,3.80891,3.68694,3.68694,8639.24
2020-06-25,3.70429,3.70429,3.58232,3.64326,47251.6
2020-06-26,3.73044,3.73044,3.61719,3.62582,38530.8
2020-06-29,3.61719,3.63454,3.52129,3.57352,311403
2020-06-30,3.79139,3.79139,3.64326,3.66941,22327
2020-07-01,3.66941,3.72181,3.66941,3.68694,8095.3
2020-07-02,3.72181,3.82626,3.713,3.78276,224937
2020-07-03,3.79139,3.79139,3.67814,3.73916,36128.2
2020-07-06,3.89601,3.93968,3.86113,3.91353,15733.6
2020-07-07,3.81762,3.81762,3.74788,3.80891,36043.4
2020-07-08,3.89601,3.9919,3.74788,3.79139,47742.6
2020-07-09,3.95703,3.96575,3.8525,3.88728,60064
2020-07-10,3.80891,3.83506,3.75659,3.77403,33341.3
2020-07-13,3.87866,3.92216,3.87866,3.92216,4229.33
2020-07-14,3.83506,3.86113,3.8002,3.86113,9004.81
2020-07-15,3.87866,3.87866,3.86994,3.86994,1950.05
2020-07-16,3.79139,3.90482,3.79139,3.90482,20380.3
2020-07-17,4.01807,4.0355,3.89601,3.98329,25951.8
2020-07-20,3.9919,4.01807,3.93968,4.01807,6529.53
2020-07-21,4.02679,4.14012,3.97456,4.14012,6264.17
2020-07-22,4.10525,4.10525,3.96575,4.00063,6200.3
2020-07-23,4.0355,4.05293,3.97456,3.9919,37810.7
2020-07-24,3.86113,3.93968,3.86113,3.93968,9285.59
2020-07-27,4.02679,4.05293,3.98329,4.02679,6161.76
2020-07-28,4.05293,4.07037,4.01807,4.07037,15006.9
2020-07-29,4.20116,4.2709,4.20116,4.23603,69777.9
2020-07-30,4.18362,4.18362,4.10525,4.12269,91823.1
2020-07-31,4.16628,4.17499,4.15755,4.17499,1746.34
2020-08-03,4.24466,4.25338,4.20116,4.25338,17408.4
2020-08-04,4.20987,4.30578,4.20116,4.22722,2702.1
2020-08-05,4.45017,4.54836,4.40559,4.51266,40224.3
2020-08-06,4.58395,4.70883,4.58395,4.61965,60693.8
2020-08-07,4.69103,4.70883,4.69103,4.70883,2103.1
2020-08-10,4.74452,4.79801,4.69103,4.76232,45572.4
2020-08-11,4.90508,4.94069,4.8515,4.90508,42527.8
2020-08-12,4.8337,4.92288,4.8159,4.92288,9797.6
2020-08-13,4.79801,4.8515,4.65534,4.79801,12123.1
2020-08-14,4.99427,5.01207,4.8515,4.88719,6505.31
2020-08-17,4.94069,5.22612,4.94069,5.02987,56605.4
2020-08-18,5.01207,5.17264,4.97638,5.02987,12756.2
2020-08-19,5.02987,5.10125,5.01207,5.01207,127148
2020-08-20,5.08344,5.08344,4.99427,5.01207,9051.06
2020-08-21,5.10125,5.10125,5.01207,5.01207,6510.81
2020-08-24,5.06556,5.10125,4.99427,5.01207,54116.9
2020-08-25,5.01207,5.01207,4.88719,4.97638,8424.53
2020-08-26,4.97638,4.99427,4.92288,4.99427,19979.5
2020-08-27,5.02987,5.17264,5.01207,5.06556,12358.7
2020-08-28,5.10125,5.10125,4.8159,4.86939,324664
2020-09-01,4.8337,5.15474,4.8337,5.15474,151973
2020-09-02,5.11906,5.27962,5.08344,5.20823,55178.4
2020-09-03,5.20823,5.24393,5.11906,5.11906,35745
2020-09-04,5.01207,5.01207,4.95858,4.95858,2833.13
2020-09-07,4.97638,5.04775,4.90508,5.04775,12302.6
2020-09-08,4.95858,4.95858,4.67313,4.76232,44644.1
2020-09-09,4.74452,5.08344,4.69103,5.02987,65255.7
2020-09-10,4.90508,4.90508,4.86939,4.88719,37811.8
2020-09-11,4.78021,4.88719,4.74452,4.8515,9808.62
2020-09-14,4.8159,4.88719,4.76232,4.8159,12857.5
2020-09-15,4.8159,4.90508,4.8159,4.8515,11750.9
2020-09-16,4.90508,4.90508,4.88719,4.88719,218.018
2020-09-17,4.78021,4.8515,4.67313,4.8159,34117.6
2020-09-18,4.8337,4.8337,4.72671,4.72671,41998.2
2020-09-21,4.67313,4.67313,4.40559,4.40559,4496.9
2020-09-22,4.47697,4.47697,4.38779,4.38779,17981
2020-09-23,4.2808,4.3164,4.23621,4.24511,18668
2020-09-24,4.10243,4.10243,4.08455,4.08455,6716.72
2020-09-25,4.17372,4.18263,4.17372,4.17372,8566.57
2020-09-28,4.2808,4.2808,4.27181,4.27181,5746.65
2020-09-29,4.34319,4.34319,4.34319,4.34319,4714.92
2020-09-30,4.2808,4.3343,4.26291,4.3343,42939.6
2020-10-01,4.37888,4.37888,4.37888,4.37888,1.1011
2020-10-02,4.34319,4.34319,4.34319,4.34319,45.1451
2020-10-05,4.53045,4.61965,4.53045,4.53045,5385.49
2020-10-06,4.51266,4.51266,4.45916,4.45916,3281.28
2020-10-07,4.44128,4.44128,4.37888,4.38779,115272
2020-10-08,4.42347,4.53045,4.37888,4.40559,37844.8
2020-10-09,4.47697,4.47697,4.34319,4.36998,47185.5
2020-10-12,4.2808,4.45916,4.2808,4.34319,60024.3
2020-10-13,4.37888,4.42347,4.35209,4.36998,32305.2
2020-10-14,4.41458,4.54836,4.41458,4.49476,1730.93
2020-10-15,4.58395,4.58395,4.43237,4.44128,18186.9
2020-10-16,4.58395,4.74452,4.58395,4.63754,1270.67
2020-10-19,4.74452,4.76232,4.67313,4.67313,3078.68
2020-10-20,4.70883,4.70883,4.63754,4.65534,5581.48
2020-10-21,4.88719,4.88719,4.72671,4.8515,12436.9
2020-10-22,4.90508,5.08344,4.8337,4.86939,15964.8
2020-10-23,5.11906,5.13694,4.99427,4.99427,22813.7
2020-10-26,4.8337,4.8337,4.78021,4.78021,348491
2020-10-27,4.86939,4.88719,4.8515,4.86939,181291
2020-10-28,4.8337,4.8337,4.58395,4.63754,105880
2020-10-29,4.67313,4.70883,4.63754,4.69103,22473.5
2020-10-30,4.70883,4.76232,4.63754,4.72671,45723.2
2020-11-02,4.65534,4.70883,4.61965,4.70883,27890.9
2020-11-03,4.78021,4.78021,4.70883,4.70883,6953.46
2020-11-04,4.69103,4.8337,4.69103,4.8337,2299.1
2020-11-05,4.94069,5.10125,4.94069,5.10125,3694.19
2020-11-06,5.04775,5.04775,5.02987,5.04775,8071.08
2020-11-09,5.10125,5.44018,5.10125,5.24393,8813.22
2020-11-10,5.04775,5.22612,4.99427,5.22612,8730.64
2020-11-11,5.4223,5.65415,5.4223,5.56497,8819.83
2020-11-12,5.47578,5.54717,5.47578,5.52937,13266
2020-11-13,5.51147,6.02878,5.47578,6.01089,39779.5
2020-11-16,5.8861,5.8861,5.79692,5.83251,8824.23
2020-11-17,6.15365,6.29633,6.08226,6.17145,10436.2
2020-11-18,6.04658,6.11796,6.04658,6.10007,20319.7
2020-11-19,6.24283,6.24283,6.17145,6.17145,8542.35
2020-11-20,6.20714,6.29633,6.15365,6.27844,12280.5
2020-11-23,6.34982,6.4212,6.31412,6.3855,24408.1
2020-11-24,6.49249,6.49249,6.439,6.49249,22686
2020-11-25,6.47469,6.47469,6.34982,6.36762,26159.9
2020-11-26,6.56388,6.77793,6.51039,6.70654,13402.6
2020-11-27,6.72436,6.97411,6.51039,6.84922,31310.9
2020-11-30,6.83143,6.9919,6.61737,6.9919,102193
2020-12-01,6.95621,7.08108,6.95621,7.0276,22808.2
2020-12-02,7.18816,7.36652,7.18816,7.25946,10779.7
2020-12-03,7.4735,7.4735,7.40213,7.43782,106866
2020-12-04,7.5092,7.5092,7.38432,7.43782,138037
2020-12-07,7.40213,7.42002,7.29515,7.33083,80531.3
2020-12-08,7.36652,7.40213,7.33083,7.34864,1736.43
2020-12-09,7.38432,7.40213,7.22376,7.25946,3707.41
2020-12-10,7.40213,7.43782,7.29515,7.36652,5308.41
2020-12-11,7.38432,7.5092,7.38432,7.49131,17364.3
2020-12-14,8.02642,8.11559,7.42002,7.42002,36879.2
2020-12-15,7.56269,7.86593,7.54489,7.86593,25289
2020-12-16,8.27617,8.27617,7.75886,7.84804,21040.9
2020-12-17,8.02642,8.02642,7.59839,7.77675,8399.2
2020-12-18,7.63407,7.72326,7.63407,7.72326,171635
2020-12-21,7.66968,7.74106,7.00979,7.06328,15420.9
2020-12-22,7.15247,7.63407,7.13457,7.27735,175462
2020-12-23,7.31294,7.49131,7.31294,7.4735,153546
2020-12-24,7.527,7.54489,7.49131,7.49131,422.823
